N,Ломуто,Хоара,Бентли,SmoothSort,HeapSort
1000,0.00043800000000000002,3.3000000000000003e-05,1.7e-05,1.7e-05,9.0000000000000002e-06
2000,0.0017229999999999999,6.9999999999999994e-05,3.8999999999999999e-05,3.3000000000000003e-05,1.8e-05
3000,0.0038400000000000001,0.00011,6.7999999999999999e-05,4.8999999999999998e-05,2.5999999999999998e-05
4000,0.0068320000000000004,0.00014899999999999999,8.8999999999999995e-05,6.3999999999999997e-05,3.6000000000000001e-05
5000,0.010616,0.00018699999999999999,0.00011,8.0000000000000007e-05,4.3999999999999999e-05
6000,0.015238,0.00023499999999999999,0.00014999999999999999,9.7e-05,5.1999999999999997e-05
7000,0.020725,0.00027399999999999999,0.000175,0.000112,6.2000000000000003e-05
8000,0.027066,0.000321,0.00020000000000000001,0.00012999999999999999,7.1000000000000005e-05
9000,0.034225999999999999,0.00036200000000000002,0.000222,0.000145,7.8999999999999996e-05
10000,0.042346000000000002,0.00039800000000000002,0.00024600000000000002,0.00016200000000000001,8.7999999999999998e-05
11000,0.051250999999999998,0.00044200000000000001,0.00030800000000000001,0.000176,9.7999999999999997e-05
12000,0.061023000000000001,0.00049200000000000003,0.00033300000000000002,0.000193,0.000107
13000,0.071344000000000005,0.00053399999999999997,0.00036099999999999999,0.00020900000000000001,0.000115
14000,0.082904000000000005,0.00058200000000000005,0.000388,0.000224,0.00012300000000000001
15000,0.095259999999999997,0.00062699999999999995,0.000415,0.000241,0.00013300000000000001
16000,0.108033,0.00067500000000000004,0.00044499999999999997,0.00025700000000000001,0.00014200000000000001
17000,0.122045,0.00071400000000000001,0.00046500000000000003,0.00027799999999999998,0.00014999999999999999
18000,0.136628,0.00075900000000000002,0.000495,0.00028899999999999998,0.00015799999999999999
19000,0.15259800000000001,0.00080099999999999995,0.00052099999999999998,0.00030499999999999999,0.00016699999999999999
20000,0.16830400000000001,0.00083799999999999999,0.00054699999999999996,0.00032600000000000001,0.000176
21000,0.186199,0.00088400000000000002,0.00057700000000000004,0.000339,0.000185
22000,0.20375499999999999,0.00092900000000000003,0.00067299999999999999,0.00035300000000000002,0.000193
23000,0.22293199999999999,0.0009810000000000001,0.00070699999999999995,0.00036499999999999998,0.00021000000000000001
24000,0.24451500000000001,0.001039,0.00074100000000000001,0.00038499999999999998,0.00021000000000000001
25000,0.26619399999999999,0.0010970000000000001,0.00076999999999999996,0.00039800000000000002,0.00021900000000000001
26000,0.28794900000000001,0.001158,0.00080500000000000005,0.000415,0.00022800000000000001
27000,0.31010300000000002,0.001178,0.00082899999999999998,0.00043100000000000001,0.000241
28000,0.33245200000000003,0.001224,0.00085599999999999999,0.000446,0.00024600000000000002
29000,0.35567399999999999,0.001281,0.00088900000000000003,0.00046099999999999998,0.00025500000000000002
30000,0.38369199999999998,0.0013439999999999999,0.00093199999999999999,0.00048700000000000002,0.00026400000000000002
31000,0.41003499999999998,0.001387,0.00094399999999999996,0.000495,0.000272
32000,0.43859999999999999,0.001451,0.00098200000000000002,0.00051099999999999995,0.00028800000000000001
33000,0.46460200000000001,0.001598,0.0010020000000000001,0.00052999999999999998,0.00029
34000,0.48902600000000002,0.001526,0.0010330000000000001,0.00054500000000000002,0.00029799999999999998
35000,0.52448300000000003,0.0021159999999999998,0.001073,0.00056400000000000005,0.00030800000000000001
36000,0.55403100000000005,0.001619,0.001098,0.00057799999999999995,0.00031700000000000001
37000,0.57981300000000002,0.0016590000000000001,0.0011230000000000001,0.00059599999999999996,0.00032499999999999999
38000,0.612232,0.001694,0.0011609999999999999,0.00061300000000000005,0.00033399999999999999
39000,0.64749699999999999,0.0017719999999999999,0.0011980000000000001,0.00062399999999999999,0.00034200000000000002
40000,0.68155100000000002,0.001792,0.0012160000000000001,0.00064000000000000005,0.00035199999999999999
41000,0.71770800000000001,0.0018749999999999999,0.001256,0.00065499999999999998,0.00036000000000000002
42000,0.74848099999999995,0.0018879999999999999,0.0012750000000000001,0.00067199999999999996,0.00037300000000000001
43000,0.78450200000000003,0.0019480000000000001,0.0013090000000000001,0.00069399999999999996,0.000377
44000,0.82448900000000003,0.0020200000000000001,0.0015,0.00071400000000000001,0.00038699999999999997
45000,0.85920399999999997,0.0020430000000000001,0.0015219999999999999,0.00072000000000000005,0.000397
46000,0.89641999999999999,0.0020960000000000002,0.0015510000000000001,0.000736,0.00040400000000000001
47000,0.93427800000000005,0.002137,0.0015839999999999999,0.00074899999999999999,0.00041300000000000001
48000,0.984958,0.0022560000000000002,0.0016260000000000001,0.00076599999999999997,0.00042200000000000001
49000,1.0204299999999999,0.0022750000000000001,0.001653,0.00078399999999999997,0.00042999999999999999
50000,1.0619000000000001,0.0023249999999999998,0.0016850000000000001,,
