N,MergeSort1,MergeSort2,HeapSort,QuickSort
100000,0.011058999999999999,0.011112,0.018534999999999999,0.0066119999999999998
150000,0.016992,0.017045999999999999,0.029002,0.010059
200000,0.022959,0.022863000000000001,0.040368000000000001,0.01349
250000,0.02904,0.028475,0.051395999999999997,0.016882999999999999
300000,0.035231999999999999,0.034785000000000003,0.063042000000000001,0.020542999999999999
350000,0.041445000000000003,0.041017999999999999,0.074754000000000001,0.023657000000000001
400000,0.047448999999999998,0.047064000000000002,0.087039000000000005,0.027101
450000,0.053414999999999997,0.052984000000000003,0.098702999999999999,0.030759000000000002
500000,0.059802000000000001,0.059076999999999998,0.112341,0.034292000000000003
550000,0.066321000000000005,0.066348000000000004,0.124293,0.037458999999999999
600000,0.072440000000000004,0.072256000000000001,0.136765,0.041447999999999999
650000,0.078871999999999998,0.078002000000000002,0.149203,0.044811999999999998
700000,0.085277000000000006,0.084359000000000003,0.162467,0.047114999999999997
750000,0.091825000000000004,0.090260999999999994,0.17483099999999999,0.050955
800000,0.097518999999999995,0.097278000000000003,0.18821199999999999,0.055208
850000,0.103643,0.102884,0.202343,0.058819999999999997
900000,0.110425,0.109723,0.214784,0.062080999999999997
950000,0.119615,0.11611100000000001,0.22863600000000001,0.065120999999999998
