N;MergeSort1;MergeSort2;HeapSort;QuickSort;
100000;0.011218;0.011129;0.018711;0.006705;
150000;0.017125;0.01705;0.029113;0.010084;
200000;0.023087;0.022604;0.040197;0.013581;
250000;0.031004;0.02876;0.054587;0.018032;
300000;0.035743;0.035489;0.06516;0.020592;
350000;0.042192;0.041244;0.077008;0.024269;
400000;0.048031;0.04808;0.088782;0.027861;
450000;0.053758;0.052883;0.100237;0.030888;
500000;0.06036;0.059435;0.113969;0.033978;
550000;0.067372;0.066418;0.12518;0.038022;
600000;0.072703;0.071872;0.13969;0.041107;
650000;0.079154;0.078834;0.149865;0.044724;
700000;0.085321;0.084542;0.162727;0.047885;
750000;0.091902;0.090638;0.174938;0.051851;
800000;0.097614;0.09731;0.188255;0.055253;
850000;0.103787;0.103218;0.201276;0.058631;
900000;0.110277;0.109171;0.215126;0.062515;
950000;0.116869;0.115618;0.227163;0.065831;
